 ------- 10/18/2010 2:50:45 PM -------- 
Red, 18, RKENS, Predicted, 10/18/2010 2:57:51 PM, 00:05:29, Revenue, 1
Red, 18, RMGHS, Predicted, 10/18/2010 2:59:51 PM, 00:07:29, Revenue, 1
Red, 18, RPRKS, Predicted, 10/18/2010 3:01:51 PM, 00:09:29, Revenue, 1
Red, 18, RDTCS, Predicted, 10/18/2010 3:03:51 PM, 00:11:29, Revenue, 1
Red, 18, RSOUS, Predicted, 10/18/2010 3:05:51 PM, 00:13:29, Revenue, 1
Red, 18, RBROS, Predicted, 10/18/2010 3:07:51 PM, 00:15:29, Revenue, 1
Red, 18, RANDS, Predicted, 10/18/2010 3:09:51 PM, 00:17:29, Revenue, 1
Red, 18, RJFKS, Predicted, 10/18/2010 3:11:51 PM, 00:19:29, Revenue, 1
Red, 18, RSAVS, Predicted, 10/18/2010 3:14:51 PM, 00:22:29, Revenue, 1
Red, 18, RFIES, Predicted, 10/18/2010 3:17:51 PM, 00:25:29, Revenue, 1
Red, 18, RSHAS, Predicted, 10/18/2010 3:20:51 PM, 00:28:29, Revenue, 1
Red, 18, RASHS, Predicted, 10/18/2010 3:22:51 PM, 00:30:29, Revenue, 1
Red, 19, RPORN, Recorded, 10/18/2010 2:52:08 PM, -00:00:13, Nonrevenue, 0
Red, 20, RDAVN, Arrived, 10/18/2010 2:52:10 PM, -00:00:10, Revenue, 0
Red, 20, RALEN, Predicted, 10/18/2010 2:55:10 PM, 00:02:49, Revenue, 0
Red, 23, RCENN, Arrived, 10/18/2010 2:52:21 PM, -00:00:00, Revenue, 0
Red, 23, RHARN, Predicted, 10/18/2010 2:56:21 PM, 00:03:59, Revenue, 0
Red, 23, RPORN, Predicted, 10/18/2010 2:59:21 PM, 00:06:59, Revenue, 0
Red, 23, RDAVN, Predicted, 10/18/2010 3:02:21 PM, 00:09:59, Revenue, 0
Red, 23, RALEN, Predicted, 10/18/2010 3:05:21 PM, 00:12:59, Revenue, 0
 ------- 10/18/2010 2:52:24 PM -------- 
Red, 2, RSAVS, Arrived, 10/18/2010 2:52:17 PM, -00:00:06, Revenue, 1
Red, 2, RFIES, Predicted, 10/18/2010 2:55:17 PM, 00:02:53, Revenue, 1
Red, 2, RSHAS, Predicted, 10/18/2010 2:58:17 PM, 00:05:53, Revenue, 1
Red, 2, RASHS, Predicted, 10/18/2010 3:00:17 PM, 00:07:53, Revenue, 1
Red, 5, RDTCN, Arrived, 10/18/2010 2:51:03 PM, -00:01:20, Revenue, 0
Red, 5, RPRKN, Predicted, 10/18/2010 2:53:03 PM, 00:00:39, Revenue, 0
Red, 5, RMGHN, Predicted, 10/18/2010 2:55:03 PM, 00:02:39, Revenue, 0
Red, 5, RKENN, Predicted, 10/18/2010 2:57:03 PM, 00:04:39, Revenue, 0
Red, 5, RCENN, Predicted, 10/18/2010 2:59:03 PM, 00:06:39, Revenue, 0
